warmup_conflicts,family,base_instance_id,observations,base_instances,variants,repeats,final_cpu_lim,warmup_cpu_lim,event_adapter_solved_rows,known_expected_rows,known_expected_match_rows,warmup_cpu_mean,warmup_cpu_median,warmup_conflict_count_mean,event_state_l2_sum_mean,event_state_nonzero_vars_mean,graph_gate_open_fraction,adapter_cached_final_cpu_delta_mean,adapter_cached_final_cpu_delta_median,adapter_cached_protocol_delta_mean,adapter_plain_final_cpu_delta_mean,adapter_plain_final_cpu_delta_median,adapter_plain_protocol_delta_mean,adapter_plain_protocol_delta_median,adapter_cached_decisions_delta_mean,adapter_cached_conflicts_delta_mean,neutral_plain_final_cpu_delta_mean,static_neutral_final_cpu_delta_mean,adapter_cached_final_cpu_improved_fraction,adapter_plain_final_cpu_improved_fraction,adapter_plain_protocol_improved_fraction
1,complete_coloring,k10_color9,9,1,3,3,10.0,5.0,9,9,9,0.006777111111111111,0.006838,1.0,136.9733123779297,90.0,1.0,-0.1945077777777779,0.3787099999999999,-0.1538067858293324,-0.4867377777777777,-0.57606,0.1790196974167492,-0.1512751062445048,4124.333333333333,5013.0,-0.19010999999999997,-0.10211999999999982,0.4444444444444444,0.6666666666666666,0.5555555555555556
1,complete_coloring,k8_color7,9,1,3,3,10.0,5.0,9,9,9,0.003893888888888889,0.004521,1.0,84.77042134602864,56.0,1.0,-0.0055056666666666665,-0.006294000000000001,0.03519532528177895,-0.0038004444444444444,-0.0037480000000000013,0.6590509361767504,0.5867115298198462,-224.33333333333334,-183.33333333333334,0.003671666666666665,-0.0019664444444444425,0.7777777777777778,0.6666666666666666,0.0
1,complete_coloring,k9_color8,9,1,3,3,10.0,5.0,9,9,9,0.004543777777777778,0.004881,1.0,109.49154917399089,72.0,1.0,-0.26159722222222226,-0.26158299999999995,-0.21765071762932667,-0.07936544444444445,-0.10001600000000005,0.44782533676958747,0.4596230075915456,-5486.666666666667,-5124.333333333333,0.18690544444444446,-0.004673666666666663,1.0,0.6666666666666666,0.1111111111111111
1,php,php_p10_h9,9,1,3,3,10.0,5.0,9,9,9,0.004214333333333333,0.003495,1.0,136.9733123779297,90.0,1.0,-0.14036666666666664,0.04237000000000002,-0.08992913678487108,-0.3594966666666666,-0.6099499999999995,-0.1046805069942007,-0.3319558030905112,4124.333333333333,5013.0,0.2599777777777777,-0.47910777777777763,0.4444444444444444,0.6666666666666666,0.6666666666666666
1,php,php_p9_h8,9,1,3,3,10.0,5.0,9,9,9,0.0038593333333333335,0.004642,1.0,109.49154917399089,72.0,1.0,-0.1876298888888889,-0.202874,-0.13719235900709364,-0.10176077777777781,-0.137386,0.15285139005526566,0.17704354089730978,-5680.666666666667,-5381.333333333333,0.17591199999999999,-0.09004288888888888,1.0,0.6666666666666666,0.2222222222222222
1,random_3sat_control,random_3sat_control_v160_c704_seed2615,9,1,3,3,10.0,5.0,9,0,0,0.003007333333333333,0.003798,1.0,250.46484883626303,160.0,1.0,0.0016474444444444444,0.0002299999999999941,0.06913953212653266,-0.017662777777777777,-0.010823,0.2279652180311812,0.2226745730323791,693.6666666666666,481.6666666666667,0.014152000000000001,-0.03346222222222223,0.4444444444444444,0.7777777777777778,0.0
1,random_3sat_control,random_3sat_control_v180_c760_seed3301,9,1,3,3,10.0,5.0,9,0,0,0.004892444444444445,0.004876,1.0,291.29674275716144,180.0,1.0,0.6245598888888888,0.6335189999999999,0.7005792554711237,-0.07038277777777778,0.051068,0.17317535751920277,0.32416291847395895,38869.333333333336,34267.0,-0.5802685555555556,-0.11467411111111112,0.0,0.4444444444444444,0.3333333333333333
1,random_3sat_control,random_3sat_control_v220_c928_seed3303,9,1,3,3,10.0,5.0,9,0,0,0.004636111111111111,0.004919,1.0,331.58192952473956,220.0,1.0,0.006525777777777778,0.005377999999999999,0.0825451443600125,-0.7599853333333333,-0.717601,-0.5166474288570417,-0.49813168672549724,658.6666666666666,558.6666666666666,-0.42015244444444444,-0.34635866666666665,0.1111111111111111,1.0,0.6666666666666666
1,random_3sat_control,random_3sat_control_v220_c942_seed3304,9,1,3,3,10.0,5.0,9,0,0,0.00479,0.005593,1.0,323.7030029296875,220.0,1.0,0.27920033333333333,0.326089,0.3407073199513754,0.02882644444444444,0.049509000000000025,0.30186212273599705,0.31016460426139847,13824.0,12257.666666666666,0.14985199999999999,-0.4002258888888889,0.0,0.4444444444444444,0.0
1,random_3sat_control,random_3sat_control_v260_c1097_seed3305,9,1,3,3,10.0,5.0,9,0,0,0.005972555555555556,0.006518,1.0,390.126953125,260.0,1.0,0.3037311111111111,0.26166,0.3652380977291531,-4.351297777777777,-5.10099,-4.0770091459816165,-4.75419680710721,20096.0,17504.666666666668,-3.051404555555555,-1.6036243333333333,0.2222222222222222,1.0,1.0
